"cls_final","subject_name","V1","V2"
"cls_273","Physics and Astronomy",116.510048882114,242.950450872122
"cls_274","Medicine",113.934707195331,195.449711518132
"cls_275","Biochemistry, Genetics and Molecular Biology",134.545064675426,207.787528130812
"cls_276","Medicine",126.913580126232,198.873002455291
"cls_277","Medicine",124.512220055096,192.513265251728
"cls_278","Physics and Astronomy",117.665746308694,221.41315299215
"cls_279","Engineering",122.477614057162,221.339784068709
"cls_28","Materials Science",143.926331651647,222.091146191712
"cls_280","Medicine",132.975144643652,192.408581443363
"cls_281","Social Sciences",113.799582514386,197.91607943617
"cls_282","Medicine",114.83209625055,199.721626278142
"cls_283","Computer Science",118.39029697515,205.91360944917
"cls_284","Biochemistry, Genetics and Molecular Biology",141.818619713363,202.241179430365
"cls_285","Medicine",119.929500982153,198.868812782473
"cls_286","Medicine",123.574323399958,194.743812448043
"cls_287","Medicine",134.166445117236,197.883921279603
"cls_288","Energy",124.88361217754,217.176072444084
"cls_289","Medicine",130.210535303207,201.131648439708
"cls_29","Medicine",138.18617574365,203.887060526425
"cls_290","Biochemistry, Genetics and Molecular Biology",131.439671158599,203.738686741836
"cls_291","Earth and Planetary Sciences",118.462872941118,204.843614028755
"cls_292","Materials Science",134.352289063031,215.306877164861
"cls_293","Chemistry",135.49962164494,219.283637274483
"cls_294","Biochemistry, Genetics and Molecular Biology",120.656784117594,200.371934509703
"cls_295",NA,117.931474645708,200.005193801614
"cls_296","Medicine",128.741284475989,193.897282634586
"cls_297","Business, Management and Accounting",104.703876275087,199.713112725779
"cls_298","Medicine",123.743144739702,201.097212538643
"cls_299",NA,125.77748986348,198.8944265248
"cls_3","Medicine",124.570024644526,191.928467371514
"cls_30","Materials Science",136.326337377765,229.906902750763
"cls_300","Computer Science",111.036851100679,203.63245669203
"cls_301","Medicine",128.283019672377,203.583379326565
"cls_302","Agricultural and Biological Sciences",122.097501982079,209.159415828293
"cls_303","Biochemistry, Genetics and Molecular Biology",140.262756295851,200.906312651276
"cls_304",NA,124.756434626544,202.76098032397
"cls_305","Medicine",126.050672544721,205.34606786627
"cls_306","Social Sciences",114.03606226254,188.440272528875
"cls_307","Medicine",118.499447390787,194.343850346494
"cls_308","Biochemistry, Genetics and Molecular Biology",132.461630502808,198.384206040973
"cls_309","Business, Management and Accounting",117.154890327289,199.874752047936
"cls_31","Biochemistry, Genetics and Molecular Biology",134.630094954955,202.196142987672
"cls_310","Agricultural and Biological Sciences",124.435831056646,202.547564439325
"cls_311","Medicine",125.243863938283,191.090393874939
"cls_312","Environmental Science",114.524742119431,212.267093959099
"cls_313","Medicine",126.863389615461,208.193548694731
"cls_314","Computer Science",110.081118021554,208.020991272244
"cls_315","Physics and Astronomy",120.799907929311,223.072389104318
"cls_316","Medicine",135.374795590088,212.133197430232
"cls_317",NA,120.278026695456,193.522427050596
"cls_318","Medicine",129.78931157408,202.497754272041
"cls_319","Medicine",119.096509991922,205.605086190723
"cls_32","Physics and Astronomy",132.030383173698,233.863431887135
"cls_320","Medicine",133.271773998601,199.738948993119
"cls_321","Medicine",130.62892810421,196.150942900502
"cls_322","Medicine",113.423277112201,200.837133560852
"cls_323","Materials Science",138.702212410144,219.335760426768
"cls_324","Computer Science",109.756556105713,196.020089706244
"cls_325","Medicine",133.47859686937,209.411146333516
"cls_326","Physics and Astronomy",121.406855464849,211.429580900514
"cls_327","Engineering",116.873490644166,221.469482046337
"cls_328","Medicine",121.36346504181,208.907506816893
"cls_329","Medicine",127.592721496947,193.68071910777
"cls_33","Physics and Astronomy",106.832112506367,231.175842197606
"cls_330","Biochemistry, Genetics and Molecular Biology",131.428826623056,202.996897625226
"cls_331","Earth and Planetary Sciences",113.875121803481,231.304643583837
"cls_332","Medicine",125.683382076548,198.259553562432
"cls_333","Computer Science",111.478247892159,211.320848376197
"cls_334","Medicine",124.495815604506,198.496426177629
"cls_335",NA,124.556529144479,214.538096455501
"cls_336","Medicine",134.217641729561,210.085204414883
"cls_337","Medicine",127.418078767319,187.612863074867
"cls_338","Medicine",126.802965876218,201.032081896746
"cls_339","Biochemistry, Genetics and Molecular Biology",129.053728503374,209.157268178638
"cls_34","Materials Science",128.301088096761,226.229314176125
"cls_340","Medicine",130.136883443058,191.454209920604
"cls_341","Computer Science",117.718204327692,213.22063377359
"cls_342","Physics and Astronomy",128.537406073067,215.909996705594
"cls_343","Medicine",127.29376559275,209.772640642486
"cls_344","Materials Science",138.206838905481,223.261091714702
"cls_345","Medicine",132.110244933367,187.556742370867
"cls_346","Social Sciences",109.003480264206,200.959878232273
"cls_347","Medicine",127.505700227739,199.890857388064
"cls_348","Computer Science",124.877899866174,210.215871070354
"cls_349","Medicine",124.717251436741,209.126486008405
"cls_35","Medicine",129.923940678951,187.426569052584
"cls_350","Medicine",124.844225392046,203.384671642524
"cls_36","Medicine",135.653342197859,184.120974195568
"cls_37","Medicine",142.500890427184,203.489952426783
"cls_38","Physics and Astronomy",122.077913998762,221.534254340588
"cls_39","Materials Science",140.986854981809,220.28245739879
"cls_4","Materials Science",135.272327533218,230.56008400469
"cls_40","Physics and Astronomy",102.850712166429,221.319823977975
"cls_41","Materials Science",129.273217148084,220.067543157981
"cls_42","Medicine",131.630104021995,207.900016277212
"cls_43","Materials Science",143.551311361537,225.044173641045
"cls_44","Biochemistry, Genetics and Molecular Biology",139.797712721279,200.699438593237
"cls_45","Physics and Astronomy",104.785226828181,230.364403962483
"cls_46","Biochemistry, Genetics and Molecular Biology",136.700827890155,197.390475847719
"cls_47","Medicine",132.601520251652,195.128312189779
"cls_48","Biochemistry, Genetics and Molecular Biology",132.705735734157,187.082387588068
"cls_49","Chemistry",138.614025005854,220.667007241517
"cls_5","Materials Science",139.710752512676,225.522077607067
"cls_50","Chemistry",138.333617647449,227.178808967259
"cls_51","Engineering",98.2165171483878,214.779706194839
"cls_52","Physics and Astronomy",110.111597254366,234.26832044838
"cls_53","Medicine",135.637665043648,198.3876262422
"cls_54","Immunology and Microbiology",143.21677475353,197.617214642092
"cls_55","Materials Science",143.949618561614,225.865033967432
"cls_56","Medicine",142.013246555525,196.576051308147
"cls_57","Medicine",145.030111304649,200.849651571585
"cls_58","Chemistry",130.095240542865,215.461806249729
"cls_59","Physics and Astronomy",123.924806244357,230.40229430303
"cls_6","Chemistry",147.651656835211,226.325322453962
"cls_60","Biochemistry, Genetics and Molecular Biology",138.228346170275,206.182251677066
"cls_61","Chemistry",137.898181313548,226.975297288749
"cls_62","Earth and Planetary Sciences",114.573201918309,210.517475624736
"cls_63","Biochemistry, Genetics and Molecular Biology",138.501915473644,196.332707448869
"cls_64","Physics and Astronomy",115.703539895814,230.460790248966
"cls_65","Medicine",114.083757313822,203.970861610327
"cls_66","Medicine",130.844338320945,187.301150842233
"cls_67","Materials Science",119.613643353262,229.061872536708
"cls_68","Earth and Planetary Sciences",105.81732647014,220.678391861177
"cls_69","Physics and Astronomy",131.20223898486,231.589125996011
"cls_7","Physics and Astronomy",124.764238129081,238.558272597913
"cls_70","Computer Science",100.645469077172,208.692315506873
"cls_71","Biochemistry, Genetics and Molecular Biology",130.935109582623,193.879220101255
"cls_72","Materials Science",129.571095277474,230.364046771931
"cls_73","Medicine",143.657211758469,199.140942321617
"cls_74","Biochemistry, Genetics and Molecular Biology",140.507132524464,192.418001268147
"cls_75","Materials Science",127.057833042416,228.57755742097
"cls_76","Medicine",145.821048919436,200.155595175402
"cls_77","Biochemistry, Genetics and Molecular Biology",119.870702859269,207.627381106944
"cls_78","Biochemistry, Genetics and Molecular Biology",142.816042819032,207.883193796604
"cls_79","Chemistry",145.87413252985,213.588462877695
"cls_8","Materials Science",137.832308814409,233.72286990528
"cls_80","Biochemistry, Genetics and Molecular Biology",136.716911228987,208.836019869968
"cls_81","Biochemistry, Genetics and Molecular Biology",133.54308346257,191.989266971258
"cls_82","Materials Science",138.155923761838,218.354026786793
"cls_83","Medicine",139.280153410613,200.142093194019
"cls_84","Chemistry",136.200290174825,210.79765299747
"cls_85","Biochemistry, Genetics and Molecular Biology",132.99823700011,190.407619380431
"cls_86","Medicine",124.556690994876,194.089460840526
"cls_87","Earth and Planetary Sciences",111.698450283803,225.955034554816
"cls_88","Biochemistry, Genetics and Molecular Biology",127.266277488198,207.061561058787
"cls_89","Medicine",133.877562656471,203.438867930986
"cls_9",NA,102.772047105559,238.58493913229
"cls_90","Materials Science",133.619822554125,219.375069022832
"cls_91","Medicine",141.214059562141,207.928184721387
"cls_92","Medicine",121.450367266623,200.053430243512
"cls_93","Medicine",124.703576008724,190.022149247658
